State,SchoolDistrict,School,Grade,Course,Section,StudentID,StudentStateID,StudentFirstName,StudentLastName,TeacherID,TeacherFirstName,TeacherLastName,TeacherEmail,StudentGender,StudentBirthDate,StudentRace,MealStatus,EnglishProficiency,NativeLanguage,ServiceCode,PrimaryDisabilityType,IEPReading,IEPMath,IEPBehavior,GiftedAndTalented,Section504,Mobility
MN,DistrictName,SchoolName,8,05Course,S4,705796,S705796,Janey,Jones,17204,Jack,White,jack@district.com,F,8/20/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,9,05Course,S5,705797,S705797,Janey,Jones,17205,Jack,White,jack@district.com,F,8/21/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,10,05Course,S6,705798,S705798,Janey,Jones,17206,Jack,White,jack@district.com,F,8/22/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,11,05Course,S7,705799,S705799,Janey,Jones,17207,Jack,White,jack@district.com,F,8/23/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,12,05Course,S8,705800,S705800,Janey,Jones,17208,Jack,White,jack@district.com,F,8/24/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,13,05Course,S9,705801,S705801,Janey,Jones,17209,Jack,White,jack@district.com,F,8/25/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,14,05Course,S10,705802,S705802,Janey,Jones,17210,Jack,White,jack@district.com,F,8/26/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,15,05Course,S11,705803,S705803,Janey,Jones,17211,Jack,White,jack@district.com,F,8/27/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,16,05Course,S12,705804,S705804,Janey,Jones,17212,Jack,White,jack@district.com,F,8/28/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,17,05Course,S13,705805,S705805,Janey,Jones,17213,Jack,White,jack@district.com,F,8/29/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,18,05Course,S14,705806,S705806,Janey,Jones,17214,Jack,White,jack@district.com,F,8/30/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,19,05Course,S15,705807,S705807,Janey,Jones,17215,Jack,White,jack@district.com,F,8/31/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,20,05Course,S16,705808,S705808,Janey,Jones,17216,Jack,White,jack@district.com,F,9/1/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,21,05Course,S17,705809,S705809,Janey,Jones,17217,Jack,White,jack@district.com,F,9/2/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,22,05Course,S18,705810,S705810,Janey,Jones,17218,Jack,White,jack@district.com,F,9/3/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,23,05Course,S19,705811,S705811,Janey,Jones,17219,Jack,White,jack@district.com,F,9/4/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,24,05Course,S20,705812,S705812,Janey,Jones,17220,Jack,White,jack@district.com,F,9/5/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,25,05Course,S21,705813,S705813,Janey,Jones,17221,Jack,White,jack@district.com,F,9/6/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,26,05Course,S22,705814,S705814,Janey,Jones,17222,Jack,White,jack@district.com,F,9/7/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,27,05Course,S23,705815,S705815,Janey,Jones,17223,Jack,White,jack@district.com,F,9/8/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,28,05Course,S24,705816,S705816,Janey,Jones,17224,Jack,White,jack@district.com,F,9/9/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,29,05Course,S25,705817,S705817,Janey,Jones,17225,Jack,White,jack@district.com,F,9/10/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,30,05Course,S26,705818,S705818,Janey,Jones,17226,Jack,White,jack@district.com,F,9/11/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,31,05Course,S27,705819,S705819,Janey,Jones,17227,Jack,White,jack@district.com,F,9/12/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,32,05Course,S28,705820,S705820,Janey,Jones,17228,Jack,White,jack@district.com,F,9/13/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,33,05Course,S29,705821,S705821,Janey,Jones,17229,Jack,White,jack@district.com,F,9/14/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,34,05Course,S30,705822,S705822,Janey,Jones,17230,Jack,White,jack@district.com,F,9/15/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,35,05Course,S31,705823,S705823,Janey,Jones,17231,Jack,White,jack@district.com,F,9/16/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,36,05Course,S32,705824,S705824,Janey,Jones,17232,Jack,White,jack@district.com,F,9/17/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,37,05Course,S33,705825,S705825,Janey,Jones,17233,Jack,White,jack@district.com,F,9/18/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,38,05Course,S34,705826,S705826,Janey,Jones,17234,Jack,White,jack@district.com,F,9/19/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,39,05Course,S35,705827,S705827,Janey,Jones,17235,Jack,White,jack@district.com,F,9/20/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,40,05Course,S36,705828,S705828,Janey,Jones,17236,Jack,White,jack@district.com,F,9/21/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,41,05Course,S37,705829,S705829,Janey,Jones,17237,Jack,White,jack@district.com,F,9/22/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,42,05Course,S38,705830,S705830,Janey,Jones,17238,Jack,White,jack@district.com,F,9/23/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,43,05Course,S39,705831,S705831,Janey,Jones,17239,Jack,White,jack@district.com,F,9/24/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,44,05Course,S40,705832,S705832,Janey,Jones,17240,Jack,White,jack@district.com,F,9/25/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,45,05Course,S41,705833,S705833,Janey,Jones,17241,Jack,White,jack@district.com,F,9/26/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,46,05Course,S42,705834,S705834,Janey,Jones,17242,Jack,White,jack@district.com,F,9/27/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,47,05Course,S43,705835,S705835,Janey,Jones,17243,Jack,White,jack@district.com,F,9/28/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,48,05Course,S44,705836,S705836,Janey,Jones,17244,Jack,White,jack@district.com,F,9/29/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,49,05Course,S45,705837,S705837,Janey,Jones,17245,Jack,White,jack@district.com,F,9/30/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,50,05Course,S46,705838,S705838,Janey,Jones,17246,Jack,White,jack@district.com,F,10/1/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,51,05Course,S47,705839,S705839,Janey,Jones,17247,Jack,White,jack@district.com,F,10/2/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,52,05Course,S48,705840,S705840,Janey,Jones,17248,Jack,White,jack@district.com,F,10/3/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,53,05Course,S49,705841,S705841,Janey,Jones,17249,Jack,White,jack@district.com,F,10/4/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,54,05Course,S50,705842,S705842,Janey,Jones,17250,Jack,White,jack@district.com,F,10/5/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,55,05Course,S51,705843,S705843,Janey,Jones,17251,Jack,White,jack@district.com,F,10/6/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,56,05Course,S52,705844,S705844,Janey,Jones,17252,Jack,White,jack@district.com,F,10/7/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,57,05Course,S53,705845,S705845,Janey,Jones,17253,Jack,White,jack@district.com,F,10/8/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,58,05Course,S54,705846,S705846,Janey,Jones,17254,Jack,White,jack@district.com,F,10/9/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,59,05Course,S55,705847,S705847,Janey,Jones,17255,Jack,White,jack@district.com,F,10/10/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,60,05Course,S56,705848,S705848,Janey,Jones,17256,Jack,White,jack@district.com,F,10/11/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,61,05Course,S57,705849,S705849,Janey,Jones,17257,Jack,White,jack@district.com,F,10/12/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,62,05Course,S58,705850,S705850,Janey,Jones,17258,Jack,White,jack@district.com,F,10/13/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,63,05Course,S59,705851,S705851,Janey,Jones,17259,Jack,White,jack@district.com,F,10/14/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,64,05Course,S60,705852,S705852,Janey,Jones,17260,Jack,White,jack@district.com,F,10/15/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,65,05Course,S61,705853,S705853,Janey,Jones,17261,Jack,White,jack@district.com,F,10/16/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,66,05Course,S62,705854,S705854,Janey,Jones,17262,Jack,White,jack@district.com,F,10/17/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,67,05Course,S63,705855,S705855,Janey,Jones,17263,Jack,White,jack@district.com,F,10/18/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,68,05Course,S64,705856,S705856,Janey,Jones,17264,Jack,White,jack@district.com,F,10/19/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,69,05Course,S65,705857,S705857,Janey,Jones,17265,Jack,White,jack@district.com,F,10/20/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,70,05Course,S66,705858,S705858,Janey,Jones,17266,Jack,White,jack@district.com,F,10/21/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,71,05Course,S67,705859,S705859,Janey,Jones,17267,Jack,White,jack@district.com,F,10/22/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,72,05Course,S68,705860,S705860,Janey,Jones,17268,Jack,White,jack@district.com,F,10/23/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,73,05Course,S69,705861,S705861,Janey,Jones,17269,Jack,White,jack@district.com,F,10/24/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,74,05Course,S70,705862,S705862,Janey,Jones,17270,Jack,White,jack@district.com,F,10/25/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,75,05Course,S71,705863,S705863,Janey,Jones,17271,Jack,White,jack@district.com,F,10/26/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,76,05Course,S72,705864,S705864,Janey,Jones,17272,Jack,White,jack@district.com,F,10/27/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,77,05Course,S73,705865,S705865,Janey,Jones,17273,Jack,White,jack@district.com,F,10/28/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,78,05Course,S74,705866,S705866,Janey,Jones,17274,Jack,White,jack@district.com,F,10/29/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,79,05Course,S75,705867,S705867,Janey,Jones,17275,Jack,White,jack@district.com,F,10/30/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,80,05Course,S76,705868,S705868,Janey,Jones,17276,Jack,White,jack@district.com,F,10/31/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,81,05Course,S77,705869,S705869,Janey,Jones,17277,Jack,White,jack@district.com,F,11/1/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,82,05Course,S78,705870,S705870,Janey,Jones,17278,Jack,White,jack@district.com,F,11/2/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,83,05Course,S79,705871,S705871,Janey,Jones,17279,Jack,White,jack@district.com,F,11/3/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,84,05Course,S80,705872,S705872,Janey,Jones,17280,Jack,White,jack@district.com,F,11/4/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,85,05Course,S81,705873,S705873,Janey,Jones,17281,Jack,White,jack@district.com,F,11/5/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,86,05Course,S82,705874,S705874,Janey,Jones,17282,Jack,White,jack@district.com,F,11/6/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,87,05Course,S83,705875,S705875,Janey,Jones,17283,Jack,White,jack@district.com,F,11/7/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,88,05Course,S84,705876,S705876,Janey,Jones,17284,Jack,White,jack@district.com,F,11/8/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,89,05Course,S85,705877,S705877,Janey,Jones,17285,Jack,White,jack@district.com,F,11/9/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,90,05Course,S86,705878,S705878,Janey,Jones,17286,Jack,White,jack@district.com,F,11/10/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,91,05Course,S87,705879,S705879,Janey,Jones,17287,Jack,White,jack@district.com,F,11/11/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,92,05Course,S88,705880,S705880,Janey,Jones,17288,Jack,White,jack@district.com,F,11/12/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,93,05Course,S89,705881,S705881,Janey,Jones,17289,Jack,White,jack@district.com,F,11/13/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,94,05Course,S90,705882,S705882,Janey,Jones,17290,Jack,White,jack@district.com,F,11/14/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,95,05Course,S91,705883,S705883,Janey,Jones,17291,Jack,White,jack@district.com,F,11/15/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,96,05Course,S92,705884,S705884,Janey,Jones,17292,Jack,White,jack@district.com,F,11/16/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,97,05Course,S93,705885,S705885,Janey,Jones,17293,Jack,White,jack@district.com,F,11/17/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,98,05Course,S94,705886,S705886,Janey,Jones,17294,Jack,White,jack@district.com,F,11/18/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,99,05Course,S95,705887,S705887,Janey,Jones,17295,Jack,White,jack@district.com,F,11/19/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,100,05Course,S96,705888,S705888,Janey,Jones,17296,Jack,White,jack@district.com,F,11/20/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,101,05Course,S97,705889,S705889,Janey,Jones,17297,Jack,White,jack@district.com,F,11/21/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,102,05Course,S98,705890,S705890,Janey,Jones,17298,Jack,White,jack@district.com,F,11/22/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,103,05Course,S99,705891,S705891,Janey,Jones,17299,Jack,White,jack@district.com,F,11/23/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,104,05Course,S100,705892,S705892,Janey,Jones,17300,Jack,White,jack@district.com,F,11/24/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,105,05Course,S101,705893,S705893,Janey,Jones,17301,Jack,White,jack@district.com,F,11/25/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,106,05Course,S102,705894,S705894,Janey,Jones,17302,Jack,White,jack@district.com,F,11/26/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,107,05Course,S103,705895,S705895,Janey,Jones,17303,Jack,White,jack@district.com,F,11/27/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,108,05Course,S104,705896,S705896,Janey,Jones,17304,Jack,White,jack@district.com,F,11/28/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,109,05Course,S105,705897,S705897,Janey,Jones,17305,Jack,White,jack@district.com,F,11/29/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,110,05Course,S106,705898,S705898,Janey,Jones,17306,Jack,White,jack@district.com,F,11/30/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,111,05Course,S107,705899,S705899,Janey,Jones,17307,Jack,White,jack@district.com,F,12/1/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,112,05Course,S108,705900,S705900,Janey,Jones,17308,Jack,White,jack@district.com,F,12/2/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,113,05Course,S109,705901,S705901,Janey,Jones,17309,Jack,White,jack@district.com,F,12/3/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,114,05Course,S110,705902,S705902,Janey,Jones,17310,Jack,White,jack@district.com,F,12/4/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,115,05Course,S111,705903,S705903,Janey,Jones,17311,Jack,White,jack@district.com,F,12/5/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,116,05Course,S112,705904,S705904,Janey,Jones,17312,Jack,White,jack@district.com,F,12/6/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,117,05Course,S113,705905,S705905,Janey,Jones,17313,Jack,White,jack@district.com,F,12/7/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,118,05Course,S114,705906,S705906,Janey,Jones,17314,Jack,White,jack@district.com,F,12/8/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,119,05Course,S115,705907,S705907,Janey,Jones,17315,Jack,White,jack@district.com,F,12/9/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,120,05Course,S116,705908,S705908,Janey,Jones,17316,Jack,White,jack@district.com,F,12/10/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
MN,DistrictName,SchoolName,121,05Course,S117,705909,S705909,Janey,Jones,17317,Jack,White,jack@district.com,F,12/11/2004,AS,FL,ES,eng,SE,AA,Y,Y,Y,Y,Y,Y
